missionTime,Change_in_temp: S1_TC_LOx_Tank.temperature
-20.6400013,13.777980325901801
98.65749359,6.688071758171084
98.85749817,6.688167432238405
99.05749512,6.68803189397636
99.25749207,6.688908906260215
99.45749664,-5.7741007461005776
99.65749359,-13.544830891376035
99.85749817,-11.974253194808089
109.0574951,6.991392175091882
109.2574921,6.991983919387316
109.4574966,6.990900443916811
109.6574936,6.991283827544837
110.0574951,-14.042345949617962
110.2574921,-14.043534473774436
110.4574966,-5.410653799717828
